year,climate_change,ocean_acidification,ozone_depletion,atmospheric_aerosol,biogeochimical_phosphore,biogeochimical_nitrogen,blue_water,green_water,land_use,genetic_diversity,fonctional_diversity,novel_entities
1850.0,280.0,3.47739013,284.6,0.03,0.0,0.0,9.4,9.8,100.0,1.0,2.146690518783534,0.0
1851.0,280.315871559633,3.4759644489999997,284.708,0.030265895953757223,0.02,0.0,9.414545454545454,9.8,100.0,1.5722543352601157,2.3112701252236056,0.01
1852.0,280.63174311926605,3.474538768,284.81600000000003,0.030531791907514448,0.04,0.0,9.42909090909091,9.8,100.0,2.1445086705202314,2.4758497316636774,0.02
1853.0,280.9476146788991,3.4731130869999998,284.92400000000004,0.030797687861271676,0.06,0.0,9.443636363636363,9.8,100.0,2.7167630057803467,2.640429338103749,0.03
1854.0,281.2634862385321,3.471687406,285.03200000000004,0.0310635838150289,0.08,0.0,9.458181818181819,9.8,100.0,3.2890173410404624,2.805008944543821,0.04
1855.0,281.5793577981651,3.470261725,285.14000000000004,0.031329479768786125,0.1,0.0,9.472727272727273,9.8,100.0,3.861271676300578,2.9695885509838926,0.05
1856.0,281.89522935779814,3.4688360439999997,285.24800000000005,0.03159537572254335,0.12,0.0,9.487272727272728,9.8,100.0,4.433526011560693,3.1341681574239644,0.06
1857.0,282.21110091743117,3.467410363,285.356,0.031861271676300575,0.14,0.0,9.501818181818182,9.8,100.0,5.005780346820809,3.2987477638640357,0.07
1858.0,282.52697247706425,3.4659846819999998,285.464,0.0321271676300578,0.16,0.0,9.516363636363636,9.8,100.0,5.578034682080925,3.463327370304108,0.08
1859.0,282.8428440366973,3.464559001,285.572,0.03239306358381503,0.18,0.0,9.530909090909091,9.8,100.0,6.1502890173410405,3.627906976744179,0.09
1860.0,283.1587155963303,3.46313332,285.68,0.03265895953757225,0.2,0.0,9.545454545454545,9.8,100.0,6.722543352601156,3.7924865831842514,0.1
1861.0,283.4745871559633,3.4625940959999997,285.788,0.03292485549132948,0.22,0.0,9.56,9.8,100.0,7.294797687861272,3.9570661896243227,0.11
1862.0,283.79045871559634,3.462054872,285.896,0.0331907514450867,0.24,0.0,9.574545454545454,9.8,100.0,7.867052023121387,4.121645796064394,0.12
1863.0,284.10633027522937,3.461515648,286.004,0.03345664739884393,0.26,0.0,9.58909090909091,9.8,100.0,8.439306358381502,4.286225402504466,0.13
1864.0,284.4222018348624,3.460976424,286.112,0.03372254335260116,0.28,0.0,9.603636363636364,9.8,100.0,9.011560693641618,4.450805008944538,0.14
1865.0,284.7380733944954,3.4604372,286.22,0.03398843930635838,0.3,0.0,9.618181818181819,9.8,100.0,9.583815028901734,4.61538461538461,0.15
1866.0,285.05394495412844,3.4598979759999997,286.32800000000003,0.034254335260115606,0.32,0.0,9.632727272727273,9.8,100.0,10.15606936416185,4.779964221824681,0.16
1867.0,285.36981651376146,3.459358752,286.43600000000004,0.034520231213872835,0.34,0.0,9.647272727272727,9.8,100.0,10.728323699421965,4.944543828264753,0.17
1868.0,285.6856880733945,3.458819528,286.54400000000004,0.034786127167630056,0.36,0.0,9.661818181818182,9.8,100.0,11.300578034682081,5.109123434704825,0.18
1869.0,286.0015596330275,3.458280304,286.652,0.035052023121387284,0.38,0.0,9.676363636363636,9.8,100.0,11.872832369942197,5.273703041144897,0.19
1870.0,286.31743119266054,3.45774108,286.76,0.035317919075144505,0.4,0.0,9.690909090909091,9.8,100.0,12.445086705202312,5.438282647584968,0.2
1871.0,286.63330275229356,3.4564300059999997,286.868,0.03558381502890173,0.42,0.0,9.705454545454545,9.8,100.0,13.017341040462428,5.60286225402504,0.21
1872.0,286.9491743119266,3.455118932,286.976,0.03584971098265896,0.44,0.0,9.72,9.8,100.0,13.589595375722544,5.767441860465112,0.22
1873.0,287.2650458715596,3.453807858,287.084,0.03611560693641618,0.46,0.0,9.734545454545454,9.8,100.0,14.16184971098266,5.932021466905184,0.23
1874.0,287.5809174311927,3.452496784,287.192,0.03638150289017341,0.48,0.0,9.749090909090908,9.8,100.0,14.734104046242773,6.096601073345255,0.24
1875.0,287.8967889908257,3.45118571,287.3,0.03664739884393063,0.5,0.0,9.763636363636364,9.8,100.0,15.30635838150289,6.261180679785327,0.25
1876.0,288.21266055045874,3.4498746359999997,287.408,0.03691329479768786,0.52,0.0,9.778181818181817,9.8,100.0,15.878612716763005,6.425760286225398,0.26
1877.0,288.52853211009176,3.448563562,287.516,0.03717919075144509,0.54,0.0,9.792727272727273,9.8,100.0,16.45086705202312,6.590339892665471,0.27
1878.0,288.8444036697248,3.4472524879999997,287.624,0.03744508670520231,0.56,0.0,9.807272727272727,9.8,100.0,17.023121387283236,6.754919499105542,0.28
1879.0,289.1602752293578,3.445941414,287.732,0.03771098265895954,0.58,0.0,9.821818181818182,9.8,100.0,17.595375722543352,6.919499105545614,0.29
1880.0,289.47614678899083,3.44463034,287.84000000000003,0.03797687861271676,0.6,0.0,9.836363636363636,9.8,100.0,18.167630057803468,7.084078711985685,0.3
1881.0,289.79201834862386,3.44239135,287.94800000000004,0.038242774566473986,0.62,0.0,9.850909090909092,9.8,100.0,18.739884393063583,7.248658318425758,0.31
1882.0,290.1078899082569,3.44015236,288.056,0.038508670520231214,0.64,0.0,9.865454545454545,9.8,100.0,19.3121387283237,7.413237924865829,0.32
1883.0,290.4237614678899,3.43791337,288.164,0.038774566473988435,0.66,0.0,9.879999999999999,9.8,100.0,19.884393063583815,7.5778175313059,0.33
1884.0,290.7396330275229,3.43567438,288.272,0.03904046242774566,0.68,0.0,9.894545454545455,9.8,100.0,20.45664739884393,7.742397137745972,0.34
1885.0,291.05550458715595,3.4334353899999996,288.38,0.039306358381502884,0.7000000000000001,0.0,9.909090909090908,9.8,100.0,21.028901734104046,7.906976744186044,0.35000000000000003
1886.0,291.371376146789,3.4311963999999997,288.488,0.03957225433526011,0.72,0.0,9.923636363636364,9.8,100.0,21.601156069364162,8.071556350626116,0.36
1887.0,291.687247706422,3.4289574099999998,288.596,0.03983815028901734,0.74,0.0,9.938181818181818,9.8,100.0,22.173410404624278,8.236135957066187,0.37
1888.0,292.003119266055,3.42671842,288.704,0.04010404624277457,0.76,0.0,9.952727272727273,9.8,100.0,22.745664739884393,8.40071556350626,0.38
1889.0,292.31899082568805,3.42447943,288.812,0.04036994219653179,0.78,0.0,9.967272727272727,9.8,100.0,23.31791907514451,8.565295169946332,0.39
1890.0,292.6348623853211,3.42224044,288.92,0.04063583815028902,0.8,0.0,9.98181818181818,9.8,100.0,23.890173410404625,8.729874776386403,0.4
1891.0,292.95073394495415,3.420835596,289.028,0.04090173410404624,0.8200000000000001,0.0,9.996363636363636,9.8,100.0,24.46242774566474,8.894454382826474,0.41000000000000003
1892.0,293.2666055045872,3.419430752,289.136,0.04116763005780347,0.84,0.0,10.01090909090909,9.8,100.0,25.034682080924856,9.059033989266545,0.42
1893.0,293.5824770642202,3.418025908,289.244,0.041433526011560695,0.86,0.0,10.025454545454545,9.8,100.0,25.606936416184972,9.223613595706617,0.43
1894.0,293.8983486238532,3.416621064,289.352,0.041699421965317916,0.88,0.0,10.04,9.8,100.0,26.179190751445088,9.38819320214669,0.44
1895.0,294.21422018348625,3.41521622,289.46,0.041965317919075144,0.9,0.0,10.054545454545455,9.8,100.0,26.751445086705203,9.552772808586761,0.45
